strategy,strategy_family,top_n,momentum_window,volatility_window,trend_window,rebalance_interval,gross_exposure,defense_asset,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_ram_top2_m20_v10_t50_f10_x2_5_GLD,external_ram,2,20,10,50,10,2.5,GLD,-0.12,-0.2,153.58017677185782,81.0,0.1535801767718578,15.285957892750904,0.4235695201763465,0.4853302099132227,-0.4079421108130431,0.8727450126215737,1.0383079092574126,1.03178003668132,False,False
ext_ram_top1_m10_v60_t200_f10_x2_0_GLD,external_ram,1,10,60,200,10,2.0,GLD,-0.15,-0.22,139.0,62.0,0.139,14.658849573629968,0.4165119165212441,0.4563846235457742,-0.507492152542187,0.9126335442356748,0.8207258268621603,1.0210660165340848,False,False
ext_ram_top2_m20_v10_t50_f10_x2_5_GLD,external_ram,2,20,10,50,10,2.5,GLD,-0.15,-0.22,160.00716533907416,81.0,0.16000716533907416,13.868994971898397,0.40726268387078735,0.47923333534100776,-0.4180724323018493,0.8498212746010076,0.9741438382541873,1.0523598380722194,False,False
ext_ram_top2_m10_v60_t100_f21_x2_5_GLD,external_ram,2,10,60,100,21,2.5,GLD,-0.12,-0.2,87.40622906863801,35.0,0.08740622906863801,13.103505211892406,0.3978797839565189,0.4645510857464463,-0.42519373415089035,0.8564823033772504,0.9357611648513183,0.9377410008422491,False,False
ext_ram_top1_m10_v10_t100_f21_x2_5_GLD,external_ram,1,10,10,100,21,2.5,GLD,-0.08,-0.14,92.25,35.0,0.09225,12.906544474692353,0.3953937012928841,0.4221941592535083,-0.4251937341508908,0.9365210120196577,0.9299142238831032,1.0727617332138717,False,False
ext_ram_top2_m10_v60_t200_f5_x2_5_GLD,external_ram,2,10,60,200,5,2.5,GLD,-0.08,-0.14,199.5175477057488,153.0,0.1995175477057488,12.81930653005327,0.3942827243052818,0.4246673022400403,-0.43852903467333737,0.9284508654787276,0.8991028942906485,1.054569734822383,False,False
ext_ram_top2_m20_v10_t50_f10_x2_0_GLD,external_ram,2,20,10,50,10,2.0,GLD,-0.15,-0.22,116.955147862047,67.0,0.116955147862047,12.479082457497526,0.38989058915112884,0.44924948967767786,-0.4877551862990116,0.8678709672677933,0.7993571367421848,0.9696002912150928,False,False
ext_ram_top2_m10_v60_t100_f10_x2_5_GLD,external_ram,2,10,60,100,10,2.5,GLD,-0.15,-0.22,221.9577787504492,102.0,0.2219577787504492,11.813145647944047,0.3810058106351144,0.5147480127923035,-0.4196736040078114,0.7401792744537452,0.9078622219662468,0.7923714215143584,False,False
ext_ram_top2_m10_v60_t200_f21_x2_5_GLD,external_ram,2,10,60,200,21,2.5,GLD,-0.15,-0.22,78.12754401470347,33.0,0.07812754401470348,11.771046497270799,0.3804306801977899,0.451216768991949,-0.4097600675493017,0.8431217683857354,0.928423021972528,0.8934691866667197,False,False
ext_ram_top1_m10_v10_t50_f21_x2_5_GLD,external_ram,1,10,10,50,21,2.5,GLD,-0.08,-0.14,88.5,35.0,0.0885,11.557467931963606,0.37748714875993694,0.4044086749452501,-0.4646238807937859,0.9334298993735535,0.812457483061395,1.1289949548187177,False,False
