strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
sat_top1_m20_v60_t200_f5_dd30,0.10872242483381123,0.03263033978968899,0.19295288325757043,-0.2800945318318411,0.16911040269935304,0.11649759663740633,0.1652473728489338,71.5,53.0,0.07150000000000001,0.0,0.4966091245376079,1,ram_trend,,1.0,20,60,200,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m120_v10_t60_f5_dd30,0.07630958701376289,0.023142253610735075,0.18215659880553814,-0.237972119780685,0.1270459251132629,0.09724775167806618,0.12700050765274698,71.48103191128695,102.0,0.07148103191128695,0.0,0.6587546239210851,2,ram_trend,,1.0,120,10,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v10_t200_f5_dd30,0.078877032257201,0.023900934283906494,0.19253568201510105,-0.2679174886064324,0.12413768727830868,0.08921005645516737,0.12012990679470985,58.5,47.0,0.0585,0.0,0.5755240443896424,1,ram_trend,,1.0,60,10,200,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m10_v10_t60_f10_dd30,0.04026421295168814,0.012356749154060154,0.21928975032189602,-0.28140422310738844,0.056348959018475094,0.04391102954181543,0.05786051388206268,88.5,63.0,0.0885,0.0,0.531442663378545,1,ram_trend,,1.0,10,10,60,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v60_t60_f5_dd30,0.027948867370221953,0.008612788740193,0.18624047987597606,-0.2276996441450958,0.04624552485006779,0.03782521827177174,0.04606358736652828,63.469332104595004,126.0,0.063469332104595,0.0,0.6008014796547472,2,ram_trend,,1.0,60,60,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v20_t60_f10_dd30,0.027486923762982673,0.008471754463130532,0.17157794787479475,-0.25286116783648627,0.049375543699313906,0.033503580386090866,0.04993060579512549,77.87395999256555,73.0,0.07787395999256555,0.0,0.5067817509247842,2,ram_trend,,1.0,10,20,60,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m60_v10_t60_f5_dd30,0.025057097203250223,0.007729193158074965,0.1762229305086937,-0.23634489240108802,0.04386031452185876,0.03270302598694696,0.042907166167156924,70.98996356948565,124.0,0.07098996356948566,0.0,0.5915536374845869,2,ram_trend,,1.0,60,10,60,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v60_t60_f21_dd30,0.017283257459460133,0.005345311293964539,0.1663542530603826,-0.2536272192200041,0.03213209879295553,0.021075463865445176,0.03275817755482837,38.01476028875987,35.0,0.038014760288759865,0.0,0.5533292231812577,2,ram_trend,,1.0,20,60,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v10_t120_f10_dd30,0.016993914734665383,0.005256341209875615,0.1803450347703751,-0.29688472642509245,0.02914602676235732,0.017704990327961016,0.03024026657284245,50.5,38.0,0.0505,0.0,0.596177558569667,1,ram_trend,,1.0,60,10,120,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m20_v60_t60_f21_dd30,-0.005317274779426784,-0.0016573021594181725,0.1855140244808565,-0.2473566149433778,-0.00893356803646504,-0.006700051906020562,-0.009771003529546827,40.0,29.0,0.04,0.0,0.5727496917385944,1,ram_trend,,1.0,20,60,60,21,0.001,-0.15,-0.22,-0.3,False,True
