trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
85,closed,002119,2026-02-13,2026-03-12,27,400.0,400.0,1,22.91,21.36,9164.0,8544.0,-620.0,17.708,-637.708,-637.708,-0.06951887047914983,break_bbi
86,closed,000995,2026-02-27,2026-03-04,5,53000.0,53000.0,1,15.78,14.95,836340.0,792350.0,-43990.0,1628.69,-45618.689999999995,-45618.689999999995,-0.054491136240185666,break_bbi
87,closed,002009,2026-03-03,2026-03-13,10,26300.0,26300.0,1,28.96,25.95,761648.0,682485.0,-79163.0,1444.133,-80607.133,-80607.133,-0.1057268008234859,break_bbi
88,closed,000852,2026-03-11,2026-03-16,5,98600.0,98600.0,1,8.02,7.89,790772.0,777954.0,-12818.0,1568.726,-14386.726,-14386.726,-0.01817509174117653,break_bbi
89,closed,601011,2026-03-12,2026-03-18,6,2400.0,2400.0,1,3.61,3.62,8664.0,8688.0,24.0,17.352,6.648,6.648,0.0007665464729176639,break_bbi
90,closed,300442,2026-03-13,2026-04-07,25,8800.0,8800.0,1,87.92,79.51,773696.0,699688.0,-74008.0,1473.384,-75481.38399999999,-75481.38399999999,-0.09746202387239693,break_bbi
91,closed,688525,2026-04-29,2026-05-06,7,2800.0,2800.0,1,257.08,310.93,719824.0,870604.0,150780.0,1590.428,149189.57200000001,149189.57200000001,0.20705135070313227,take_profit_8
92,closed,002364,2026-04-29,2026-05-06,7,18800.0,18800.0,1,39.41,44.87,740907.9999999999,843556.0,102648.00000000012,1584.464,101063.53600000012,101063.53600000012,0.1362687046523638,take_profit_8
93,closed,301183,2026-04-30,2026-05-07,7,100.0,100.0,1,179.51,200.17,17951.0,20017.0,2066.0,37.968,2028.032,2028.032,0.11286312706846381,take_profit_8
94,closed,300499,2026-05-06,2026-05-07,1,21800.0,21800.0,1,39.8,44.42,867639.9999999999,968356.0,100716.00000000012,1835.9959999999999,98880.00400000012,98880.00400000012,0.11385047113690344,take_profit_8
95,closed,300757,2026-05-07,2026-05-14,7,1800.0,1800.0,1,506.0,589.0,910800.0,1060200.0,149400.0,1971.0,147429.0,147429.0,0.16170588304975655,take_profit_8
96,closed,300548,2026-05-07,2026-06-05,29,3400.0,3400.0,1,265.0,219.0,901000.0,744600.0,-156400.0,1645.6,-158045.6,-158045.6,-0.17523608467004695,break_bbi
