strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top3_m20_v120_f21_cost,0.2857253214210689,0.08132742255739722,0.1271508728136917,-0.12504744560689884,0.6396135611004616,0.6503725219070801,0.7079011215185448,37.88277550753806,32.0,0.03788277550753806,ram_topn,3,20,120,21,0.001
ram_top1_m20_v20_f42_cost,0.3105656803652308,0.08778417129108029,0.13625122274512888,-0.1360452071639271,0.6442817137523169,0.6452573605574,0.725269768249424,27.0,14.0,0.027,ram_topn,1,20,20,42,0.001
ram_top2_m60_v120_f42_cost,0.3179715707775179,0.08969285200878452,0.13334831267822683,-0.13945403687522773,0.6726208244210472,0.6431714277947685,0.8190447639015199,20.762365317162285,18.0,0.020762365317162284,ram_topn,2,60,120,42,0.001
ram_top2_m20_v20_f63_cost,0.24006734486125203,0.06923178901172777,0.11773327515771712,-0.1081666883378708,0.5880392685838725,0.6400472278070907,0.7034098381074583,15.237116818541423,12.0,0.015237116818541424,ram_topn,2,20,20,63,0.001
ram_top2_m180_v120_f63_cost,0.33452166328322774,0.09393166948047171,0.12290088099796494,-0.14979310900734677,0.76428800768342,0.6270760390977981,0.8656189550228661,10.562714716377036,11.0,0.010562714716377037,ram_topn,2,180,120,63,0.001
ram_top2_m60_v20_f21_cost,0.3025677424375679,0.08571454192173533,0.13287800958206356,-0.1375310218343132,0.6450619044590614,0.6232378759244414,0.7582999274671665,28.750119574537674,37.0,0.028750119574537675,ram_topn,2,60,20,21,0.001
ram_top3_m60_v120_f21_cost,0.2728428087305641,0.07794498440150566,0.12419652338452394,-0.1256614384282435,0.6275939315964648,0.6202776713081682,0.7161578738666796,25.33408795363882,34.0,0.025334087953638822,ram_topn,3,60,120,21,0.001
ram_top3_m20_v120_f63_cost,0.29585027140074827,0.08396948470273724,0.12391989740748781,-0.1366312882202605,0.6776109927416984,0.6145699553631652,0.7995991482285886,14.52414690786571,12.0,0.01452414690786571,ram_topn,3,20,120,63,0.001
ram_top3_m20_v60_f63_cost,0.2977320882725498,0.08445896814131948,0.12261545635563126,-0.14204268194481995,0.6888117587423602,0.594602741830302,0.8090573966451606,14.3720623222114,12.0,0.014372062322211401,ram_topn,3,20,60,63,0.001
ram_top3_m60_v120_f10_cost,0.2997519105968438,0.084983804708886,0.1368379881277115,-0.14390133985353104,0.6210541814570545,0.5905699335071248,0.6804180128057473,34.414544673106185,67.0,0.03441454467310619,ram_topn,3,60,120,10,0.001
ram_top2_m60_v60_f21_cost,0.2863613949589634,0.08149382430344954,0.1360983812691403,-0.13886921173624878,0.5987861394346201,0.5868386756470466,0.7082296277630578,28.65978554350098,37.0,0.02865978554350098,ram_topn,2,60,60,21,0.001
ram_top3_m20_v60_f21_cost,0.26811150654891125,0.07669681111035764,0.1302428463375051,-0.13285612096378852,0.5888754220835222,0.5772922659036708,0.6709671064157613,40.63009303787046,34.0,0.04063009303787046,ram_topn,3,20,60,21,0.001
ram_top1_m20_v20_f63_cost,0.3276779756295476,0.09218327696214645,0.15008131216407675,-0.16006997541108492,0.6142222214939517,0.5758936160601341,0.6973153897381995,15.0,8.0,0.015,ram_topn,1,20,20,63,0.001
ram_top1_m20_v60_f63_cost,0.3276779756295476,0.09218327696214645,0.15008131216407675,-0.16006997541108492,0.6142222214939517,0.5758936160601341,0.6973153897381995,15.0,8.0,0.015,ram_topn,1,20,60,63,0.001
ram_top1_m20_v120_f63_cost,0.3276779756295476,0.09218327696214645,0.15008131216407675,-0.16006997541108492,0.6142222214939517,0.5758936160601341,0.6973153897381995,15.0,8.0,0.015,ram_topn,1,20,120,63,0.001
ram_top2_m120_v20_f10_cost,0.28936289209097477,0.08227827522162334,0.1350293593316824,-0.14314233535535303,0.609336189024768,0.5748004251667843,0.6642718704499465,33.75897820636423,71.0,0.03375897820636423,ram_topn,2,120,20,10,0.001
ram_top1_m20_v120_f21_cost,0.33302504600920146,0.09354984947772604,0.15844060183635353,-0.163647743481101,0.5904411394141866,0.57165376978467,0.6337297584770034,41.0,21.0,0.041,ram_topn,1,20,120,21,0.001
