strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m180_v60_f10_cost,0.11700949118990778,0.021398911520355668,0.1426095414814052,-0.24503410718871732,0.1500524529990573,0.0873303384817156,0.14021188006880536,40.72506227913003,131.0,0.04072506227913003,ram_topn,2,180,60,10,0.001
ram_top1_m180_v120_f21_cost,0.1010089368371756,0.01858300508237698,0.12651902634163806,-0.21782356383338697,0.14687913446470477,0.08531218916513138,0.16901148480756326,47.0,24.0,0.047,ram_topn,1,180,120,21,0.001
ram_top3_m120_v120_f21_cost,0.18517814872525307,0.03304217716830338,0.19132838051167517,-0.39163079785834864,0.1726987762084104,0.08437073220236016,0.13001283641246975,23.59516315836648,62.0,0.02359516315836648,ram_topn,3,120,120,21,0.001
ram_top2_m60_v120_f10_cost,0.09736361041725217,0.01793684678076679,0.14374449533158243,-0.22078990263534903,0.12478284291437382,0.08123943426158772,0.13794658907527615,70.72806956952236,130.0,0.07072806956952236,ram_topn,2,60,120,10,0.001
ram_top2_m180_v20_f63_cost,0.17440505385163707,0.031238778819539625,0.20206639690972042,-0.3903768521213976,0.1545966043700801,0.08002210850817848,0.1159084575442306,17.319313567452685,21.0,0.017319313567452685,ram_topn,2,180,20,63,0.001
ram_top2_m120_v120_f21_cost,0.16852333506790695,0.030248536339331222,0.19626979646034276,-0.39299524698001265,0.15411712288315885,0.07696921673169659,0.11774327727173554,26.5686388270976,62.0,0.0265686388270976,ram_topn,2,120,120,21,0.001
ram_top2_m180_v60_f21_cost,0.13877431935108975,0.0251773595320417,0.17327408225073457,-0.35684798102266757,0.14530366691314542,0.07055486053161218,0.11754481432359451,27.472013387371458,62.0,0.027472013387371458,ram_topn,2,180,60,21,0.001
ram_top3_m180_v120_f42_cost,0.13661351667559285,0.024804860916570526,0.17998635286001563,-0.36042998946529003,0.1378152316684949,0.06882019155334262,0.10564872063293221,15.094971809936043,32.0,0.015094971809936042,ram_topn,3,180,120,42,0.001
ram_top3_m180_v60_f63_cost,0.15370761980507286,0.02773618830047475,0.21056893961251333,-0.43531641843716073,0.1317202259341505,0.06371500620181307,0.0968749022922521,11.306148647153046,21.0,0.011306148647153047,ram_topn,3,180,60,63,0.001
ram_top1_m180_v20_f10_cost,0.07709173971090366,0.014311521292946994,0.12364150553122638,-0.2577297302250836,0.11575013771837755,0.0555291827623002,0.12602126032073468,67.0,34.0,0.067,ram_topn,1,180,20,10,0.001
ram_top3_m180_v120_f21_cost,0.11733718373136592,0.021456239725058168,0.18366129758242203,-0.3990676943561995,0.11682504701584835,0.05376591497758968,0.08969501976287533,19.925483165303913,62.0,0.019925483165303914,ram_topn,3,180,120,21,0.001
ram_top3_m180_v120_f63_cost,0.12416480125621421,0.022647616347399202,0.20885898308431852,-0.4329427360184235,0.10843496417032791,0.05231088193251371,0.07980835849614096,11.38104670927588,21.0,0.01138104670927588,ram_topn,3,180,120,63,0.001
ram_top3_m60_v60_f21_cost,0.09710909511899879,0.017891667462970995,0.16392805375787123,-0.3529088667832869,0.10914341415532057,0.050697698887678694,0.0929545908440386,45.75524618372667,63.0,0.04575524618372667,ram_topn,3,60,60,21,0.001
ram_top2_m180_v60_f63_cost,0.1060012749522905,0.019465128933211284,0.215811061500028,-0.4353164184371602,0.09019523280185877,0.04471489727654543,0.06700518014432975,15.067344412068788,21.0,0.015067344412068789,ram_topn,2,180,60,63,0.001
ram_top1_m180_v120_f10_cost,0.053503729949780476,0.010023030833785196,0.15409679210872637,-0.24548627000445167,0.06504373450365682,0.040829292952324535,0.06873843741554715,59.0,30.0,0.059000000000000004,ram_topn,1,180,120,10,0.001
ram_top2_m180_v120_f10_cost,0.04347659619480737,0.00817646625526236,0.15248684523591463,-0.29699690469303597,0.053620797535764014,0.027530476331776004,0.04708445951220727,38.43503313408551,131.0,0.03843503313408551,ram_topn,2,180,120,10,0.001
